timestamps,TP9,AF7,AF8,TP10,Right AUX
1595686202.823,-35.156,-17.090,-30.762,-9.766,0.000
1595686202.827,-40.039,-19.043,-30.762,-6.836,0.000
1595686202.831,-27.344,-21.484,-28.809,0.000,0.000
1595686202.835,-26.855,-20.996,-34.180,-3.906,0.000
1595686202.839,-28.320,-19.043,-35.645,-13.184,0.000
1595686202.843,-28.320,-21.973,-32.715,-17.090,0.000
1595686202.846,-29.297,-20.996,-38.086,-18.066,0.000
1595686202.850,-22.461,-19.043,-46.875,-21.484,0.000
1595686202.854,-16.113,-21.973,-44.434,-23.438,0.000
1595686202.858,-20.020,-18.066,-36.133,-16.602,0.000
1595686202.862,-27.832,-15.625,-30.273,-12.207,0.000
1595686202.866,-28.320,-19.531,-29.297,-11.230,0.000
1595686202.870,-22.949,-20.020,-33.691,-1.465,0.000
1595686202.874,-15.625,-20.508,-35.156,5.859,0.000
1595686202.878,-15.625,-20.508,-31.738,4.395,0.000
1595686202.882,-24.902,-21.484,-31.250,0.000,0.000
1595686202.885,-29.297,-20.020,-27.832,-0.977,0.000
1595686202.889,-26.855,-17.578,-29.785,-7.812,0.000
1595686202.893,-23.926,-15.625,-34.180,-2.441,0.000
1595686202.897,-23.438,-14.160,-33.691,7.812,0.000
